subject,run,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_p,trans_y_p,trans_z_p,rot_x_p,rot_y_p,rot_z_p
LA,1,0.0705657399755866,-0.08568885747327504,-0.07578172219668908,-0.19988824789105536,0.16508087690040507,0.17580352038371344,0.13501217238180022,0.06936718249390546,0.10840336125400661,1.9402189226138043e-05,0.00043759243209428466,0.00017809714388880265
LA,2,-0.007555775890934422,0.05166348058721694,-0.23235247497372596,0.02411310435287348,0.010385519922557231,0.028474935409534413,0.8730081423090288,0.2741172044836368,6.241264283878806e-07,0.6099339966800311,0.826102221936778,0.5468501963239906
BS,1,-0.15550801161952815,0.004554857303229725,-0.1197549824390033,-0.005884297168600994,-0.3519788141456299,0.0062525068638048685,0.0009336107669721583,0.9232387312909492,0.011006989439749329,0.9009362712373057,1.4328535398678556e-14,0.8947722471058208
BS,2,-0.22110450205554694,0.33756708161487986,-0.424173211477277,0.07636052578888863,-0.21537199641465715,0.06138519762093014,2.1794448422853223e-06,1.8662398345593852e-13,4.442936222910223e-21,0.10572539718649118,4.022116075587136e-06,0.19367606959427747
AE,1,0.2548696097454236,-0.014203893536140275,0.061410740067354266,-0.21661482935856824,0.4002579852068378,0.03019299031153639,7.819012183012456e-06,0.8064533612299171,0.28904191329065365,0.00015606996757693562,5.708871736620673e-13,0.6024409435373388
AE,2,0.04874672010702843,0.042438249315356356,0.3603039363272344,0.05885067121869923,0.1842117596242498,0.25161250935019325,0.4001835491052992,0.4639772880014939,1.2601354965448982e-10,0.30965368625802936,0.001351606048870816,1.0287912046163312e-05
AE,3,0.008337010218862751,0.13103448626131348,0.03443175133773306,0.11090160369746901,0.2604152745004563,-0.15926107689367552,0.885657673809539,0.02321336789793862,0.5524706908022481,0.05501270192850812,4.858622388893167e-06,0.005698669333576114
AIM,1,0.24904088002877467,-0.4061728225308141,0.4019673094149967,-0.44753079155295417,0.36761909122683795,0.36612752548754623,8.659029457789039e-08,2.649214549596024e-19,6.647617632416567e-19,1.5104377296139386e-23,7.587938305718242e-16,1.0112591163276004e-15
AIM,2,-0.2578213519395506,-0.154703442087001,-0.055857538585732794,0.0936682453147326,0.0345922555186018,-0.1604261831504885,2.888331721610392e-08,0.0009931123606183336,0.23698948381912768,0.047050553547521246,0.46417426153596375,0.000635862177682516
EdZ,1,0.13461142818878657,0.09229641858677903,-0.03671334477549037,-0.20509991592244764,0.16130192389549544,0.1424259737856468,0.004228031098773962,0.050390366300826,0.4372157243173137,1.1575573669066916e-05,0.0005931419567276306,0.0024588472733565302
HaM,1,0.044661637754647876,-0.05813158974555657,-0.12141516450648662,-0.11037446859233213,0.010282057636475736,0.006904649602463944,0.3445297005038972,0.2184094920746042,0.009937835502570618,0.019178469538392178,0.8278074248346868,0.8838707892796813
HaM,2,0.003953545271967121,-0.02662505695196437,-0.24829870830200407,-0.14520433527934926,0.011702279867379083,-0.0931170335808854,0.9333470965956531,0.5732090234032275,9.483301505431379e-08,0.002014653455842126,0.8044741862911373,0.04836951949268101
ElL,1,0.038612322958924944,-0.060919803313897125,-0.10046507543520469,0.10256592089107117,-0.23007960627750706,0.22928951490073946,0.41386119907819063,0.19708254905301084,0.033117843048388385,0.029597140722904505,8.077269353810892e-07,8.829304610404311e-07
ElL,2,0.01328508660895163,0.27361647107281123,-0.07115104542179107,0.021630780375990758,-0.05043835938069556,0.07391022739019544,0.7786737262489203,3.6104007977910585e-09,0.13179677779480028,0.6472143672444879,0.28567258334255413,0.11742966222901347
DaH,1,-0.13698297767755993,0.07630700649831484,-0.10018310612842321,0.017871040642172358,-0.1082850774667079,0.15526615663794457,0.0035969583345351387,0.10597080045829628,0.033616541301462584,0.7053727947321332,0.021593474585513257,0.0009511415835093706
DaH,2,0.04507594295859059,0.14910157794443812,0.2562053388755273,-0.22028973422936354,0.03721100281705239,0.19822046223803386,0.34006814913447253,0.0015145941135732766,3.546032704635912e-08,2.38015064268099e-06,0.431023267548357,2.2825361251490452e-05
AmK,1,-0.34909303292897,-0.19249509146815746,-0.07886051073956699,0.08563343747907376,0.077110245755355,0.029458896333050856,2.4212757518142618e-14,3.94656290596952e-05,0.09475444331233897,0.06954820440932642,0.10233471073086435,0.5330777085812449
