subject,run,motion_param,plv_empirical,plv_null_median,plv_null_mean,plv_null_std,p_value,p_fdr,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,n_null_samples
HaM,1,trans_y,0.237201065,0.151202815,0.149541847,0.081526064,0.076923077,0.280936455,1,FALSE,FALSE,FALSE,26
HaM,1,trans_z,0.129640346,0.140664109,0.143439897,0.070194912,0.538461538,0.814968815,1,FALSE,FALSE,FALSE,26
HaM,1,rot_x,0.403525056,0.161367828,0.151042062,0.082641345,0,0,0,TRUE,TRUE,TRUE,26
HaM,1,rot_y,0.081297836,0.175452894,0.173832177,0.079861208,0.884615385,0.946594806,1,FALSE,FALSE,FALSE,26
HaM,1,rot_z,0.224923348,0.115388912,0.145580918,0.118571636,0.192307692,0.49704142,1,FALSE,FALSE,FALSE,26
HaM,2,trans_x,0.171689733,0.15558492,0.156104732,0.081604024,0.423076923,0.725274725,1,FALSE,FALSE,FALSE,26
HaM,2,trans_y,0.083621711,0.147984672,0.177558912,0.100386773,0.769230769,0.946594806,1,FALSE,FALSE,FALSE,26
HaM,2,trans_z,0.108277572,0.096464864,0.117983543,0.07849915,0.461538462,0.76770754,1,FALSE,FALSE,FALSE,26
HaM,2,rot_x,0.138867108,0.16277592,0.162492899,0.090307083,0.615384615,0.883629191,1,FALSE,FALSE,FALSE,26
HaM,2,rot_y,0.140255243,0.126265661,0.152729087,0.101899567,0.461538462,0.76770754,1,FALSE,FALSE,FALSE,26
HaM,2,rot_z,0.24437588,0.129303924,0.149397609,0.080419257,0.115384615,0.387692308,1,FALSE,FALSE,FALSE,26
ElL,1,trans_x,0.137103699,0.140996323,0.158495026,0.091084757,0.538461538,0.814968815,1,FALSE,FALSE,FALSE,26
ElL,1,trans_y,0.137242532,0.165831388,0.155396251,0.067922796,0.538461538,0.814968815,1,FALSE,FALSE,FALSE,26
ElL,1,trans_z,0.2485221,0.161476116,0.174990901,0.078924479,0.192307692,0.49704142,1,FALSE,FALSE,FALSE,26
ElL,1,rot_x,0.299927781,0.165552683,0.149130959,0.070078642,0.038461538,0.192,1,TRUE,FALSE,FALSE,26
ElL,1,rot_y,0.462250964,0.200632501,0.195794714,0.095491466,0,0,0,TRUE,TRUE,TRUE,26
ElL,1,rot_z,0.173862037,0.162892993,0.16077471,0.075595384,0.461538462,0.76770754,1,FALSE,FALSE,FALSE,26
ElL,2,trans_x,0.04244637,0.145699504,0.164593891,0.077859558,1,1,1,FALSE,FALSE,FALSE,26
ElL,2,trans_y,0.347658499,0.135049148,0.169559951,0.084076392,0.076923077,0.280936455,1,FALSE,FALSE,FALSE,26
ElL,2,trans_z,0.028573753,0.170139166,0.179040012,0.118967131,0.961538462,0.973123262,1,FALSE,FALSE,FALSE,26
ElL,2,rot_x,0.063723548,0.149298867,0.149418698,0.088353652,0.769230769,0.946594806,1,FALSE,FALSE,FALSE,26
ElL,2,rot_y,0.174279408,0.150713367,0.139396837,0.070643884,0.269230769,0.558404558,1,FALSE,FALSE,FALSE,26
ElL,2,rot_z,0.149570181,0.09677066,0.125373486,0.063488629,0.384615385,0.694789082,1,FALSE,FALSE,FALSE,26
DaH,1,trans_x,0.333534401,0.131670544,0.145378693,0.068631843,0.038461538,0.192,1,TRUE,FALSE,FALSE,26
DaH,1,trans_y,0.234245525,0.129208321,0.151327592,0.091415705,0.192307692,0.49704142,1,FALSE,FALSE,FALSE,26
DaH,1,trans_z,0.176192419,0.159747515,0.143569197,0.07168395,0.346153846,0.646153846,1,FALSE,FALSE,FALSE,26
DaH,1,rot_x,0.165108183,0.173039391,0.169829644,0.07900967,0.538461538,0.814968815,1,FALSE,FALSE,FALSE,26
DaH,1,rot_y,0.10880842,0.129129054,0.145206936,0.088499576,0.576923077,0.842809365,1,FALSE,FALSE,FALSE,26
DaH,1,rot_z,0.08995759,0.169010187,0.190219437,0.101190676,0.846153846,0.946594806,1,FALSE,FALSE,FALSE,26
DaH,2,trans_x,0.159199919,0.133165565,0.138759872,0.060503782,0.346153846,0.646153846,1,FALSE,FALSE,FALSE,26
DaH,2,trans_y,0.214627951,0.136536195,0.143110426,0.061638981,0.153846154,0.445623342,1,FALSE,FALSE,FALSE,26
DaH,2,trans_z,0.277027099,0.180553986,0.178884107,0.070385101,0.076923077,0.280936455,1,FALSE,FALSE,FALSE,26
DaH,2,rot_x,0.284083972,0.145083982,0.14999417,0.084400913,0.038461538,0.192,1,TRUE,FALSE,FALSE,26
DaH,2,rot_y,0.118617315,0.172147377,0.171137871,0.070607478,0.807692308,0.946594806,1,FALSE,FALSE,FALSE,26
DaH,2,rot_z,0.252606738,0.136557029,0.139520553,0.068749988,0.038461538,0.192,1,TRUE,FALSE,FALSE,26
AmK,1,trans_x,0.248103486,0.142416043,0.153982179,0.064283393,0.076923077,0.280936455,1,FALSE,FALSE,FALSE,26
AmK,1,trans_y,0.214552304,0.167602826,0.174192055,0.074402672,0.307692308,0.615384615,1,FALSE,FALSE,FALSE,26
AmK,1,trans_z,0.128619539,0.170419285,0.203354362,0.113364254,0.807692308,0.946594806,1,FALSE,FALSE,FALSE,26
AmK,1,rot_x,0.173630931,0.172497856,0.168286039,0.090926234,0.5,0.8,1,FALSE,FALSE,FALSE,26
AmK,1,rot_y,0.101902889,0.158843355,0.142874935,0.06167888,0.692307692,0.915808601,1,FALSE,FALSE,FALSE,26
AmK,1,rot_z,0.230896799,0.152444629,0.158552625,0.092652053,0.076923077,0.280936455,1,FALSE,FALSE,FALSE,26
AmK,2,trans_x,0.193074364,0.151274267,0.145611273,0.058057673,0.269230769,0.558404558,1,FALSE,FALSE,FALSE,26
AmK,2,trans_y,0.124591388,0.167226079,0.17475034,0.085802447,0.653846154,0.90037831,1,FALSE,FALSE,FALSE,26
AmK,2,trans_z,0.19560366,0.135695038,0.140600236,0.075421799,0.153846154,0.445623342,1,FALSE,FALSE,FALSE,26
AmK,2,rot_x,0.460188826,0.170697805,0.166749261,0.08954834,0,0,0,TRUE,TRUE,TRUE,26
AmK,2,rot_y,0.24748505,0.130354279,0.137465001,0.070182325,0.076923077,0.280936455,1,FALSE,FALSE,FALSE,26
AmK,2,rot_z,0.243816416,0.153570747,0.16596315,0.092707794,0.192307692,0.49704142,1,FALSE,FALSE,FALSE,26
IdS,1,trans_x,0.241147849,0.188351145,0.180604378,0.083402238,0.307692308,0.615384615,1,FALSE,FALSE,FALSE,26
IdS,1,trans_y,0.039952659,0.127955368,0.15235042,0.07831959,0.961538462,0.973123262,1,FALSE,FALSE,FALSE,26
IdS,1,trans_z,0.220609666,0.148706708,0.157102228,0.06844158,0.230769231,0.546045504,1,FALSE,FALSE,FALSE,26
IdS,1,rot_x,0.121213745,0.12525283,0.134097371,0.058824365,0.538461538,0.814968815,1,FALSE,FALSE,FALSE,26
IdS,1,rot_y,0.171180924,0.1308865,0.167357253,0.100923095,0.346153846,0.646153846,1,FALSE,FALSE,FALSE,26
IdS,1,rot_z,0.360057991,0.131062626,0.157682875,0.078537294,0,0,0,TRUE,TRUE,TRUE,26
IdS,2,trans_x,0.134679501,0.146234643,0.162181441,0.070551038,0.576923077,0.842809365,1,FALSE,FALSE,FALSE,26
IdS,2,trans_y,0.210297733,0.1456515,0.167131234,0.09584612,0.307692308,0.615384615,1,FALSE,FALSE,FALSE,26
IdS,2,trans_z,0.140449655,0.138016045,0.171866523,0.098769664,0.5,0.8,1,FALSE,FALSE,FALSE,26
IdS,2,rot_x,0.229313448,0.133342986,0.150399391,0.076332195,0.153846154,0.445623342,1,FALSE,FALSE,FALSE,26
IdS,2,rot_y,0.365743139,0.19061561,0.186681043,0.08447206,0,0,0,TRUE,TRUE,TRUE,26
IdS,2,rot_z,0.111155011,0.144204338,0.1804493,0.123175367,0.692307692,0.915808601,1,FALSE,FALSE,FALSE,26
DoP,1,trans_x,0.256001268,0.161959195,0.169827384,0.063826485,0.111111111,0.387692308,1,FALSE,FALSE,FALSE,27
DoP,1,trans_y,0.139653083,0.145006265,0.152527722,0.070185795,0.555555556,0.832566372,1,FALSE,FALSE,FALSE,27
DoP,1,trans_z,0.089757597,0.159903426,0.169581918,0.067316478,0.851851852,0.946594806,1,FALSE,FALSE,FALSE,27
DoP,1,rot_x,0.104202863,0.139432922,0.162363305,0.107951016,0.666666667,0.903225806,1,FALSE,FALSE,FALSE,27
DoP,1,rot_y,0.153389879,0.193737429,0.187762293,0.091631205,0.703703704,0.923611111,1,FALSE,FALSE,FALSE,27
DoP,1,rot_z,0.07216775,0.135953435,0.164568947,0.103493026,0.925925926,0.972222222,1,FALSE,FALSE,FALSE,27
AlS,1,trans_x,0.357759635,0.142193684,0.153746895,0.089769161,0.038461538,0.192,1,TRUE,FALSE,FALSE,26
AlS,1,trans_y,0.458798433,0.126429232,0.131212215,0.068580187,0,0,0,TRUE,TRUE,TRUE,26
AlS,1,trans_z,0.065081854,0.149214196,0.161972311,0.074384212,0.961538462,0.973123262,1,FALSE,FALSE,FALSE,26
AlS,1,rot_x,0.341232037,0.149569614,0.141293893,0.066559204,0,0,0,TRUE,TRUE,TRUE,26
AlS,1,rot_y,0.330068808,0.132164525,0.151318597,0.077139738,0.038461538,0.192,1,TRUE,FALSE,FALSE,26
AlS,1,rot_z,0.493308034,0.103506157,0.132317098,0.085781454,0,0,0,TRUE,TRUE,TRUE,26
AlS,2,trans_x,0.324641235,0.094454884,0.095519786,0.048995181,0,0,0,TRUE,TRUE,TRUE,26
AlS,2,trans_y,0.54241816,0.13207939,0.13305772,0.072599172,0,0,0,TRUE,TRUE,TRUE,26
AlS,2,trans_z,0.213913569,0.092199895,0.110729216,0.053455137,0.038461538,0.192,1,TRUE,FALSE,FALSE,26
AlS,2,rot_x,0.543216875,0.099937197,0.121879813,0.07063479,0,0,0,TRUE,TRUE,TRUE,26
AlS,2,rot_y,0.367429797,0.126537189,0.134169108,0.064982325,0,0,0,TRUE,TRUE,TRUE,26
AlS,2,rot_z,0.542483897,0.099512538,0.108234087,0.068048211,0,0,0,TRUE,TRUE,TRUE,26
