motion_param,n_empirical,n_null,mean_plv_empirical,std_plv_empirical,mean_plv_null,std_plv_null,effect_size,mann_whitney_u,p_value,p_fdr,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni
trans_x,28,728,0.18553153112771173,0.09192441380137753,0.15164923611482628,0.07939714840281802,0.03388229501288545,12263.0,0.03393385893824166,0.04734053007725451,0.20360315362944997,True,True,False
trans_y,28,728,0.2174163360908424,0.12190523486395007,0.16184958327847673,0.08531441345227642,0.05556675281236567,12813.0,0.01041904410379028,0.03125713231137084,0.06251426462274168,True,True,False
trans_z,28,728,0.1674733855994446,0.10235265525426682,0.15873653891727954,0.0866294440118276,0.008736846682165067,10391.0,0.43052074708239024,0.43052074708239024,1.0,False,False,False
rot_x,28,728,0.21174619336097053,0.13549711133280024,0.15638345328579847,0.08495202638015989,0.05536274007517206,12321.0,0.030256867158547026,0.04734053007725451,0.18154120295128215,True,True,False
rot_y,28,728,0.22481220102247154,0.1070247078755095,0.15873130329516105,0.0857672212525036,0.06608089772731049,13792.0,0.0007511395912508636,0.0045068375475051815,0.0045068375475051815,True,True,True
rot_z,28,728,0.20781334170702934,0.12403355224719982,0.16383707094231634,0.09302549026082481,0.043976270764713,12185.0,0.03945044173104542,0.04734053007725451,0.23670265038627253,True,True,False
