trans_x_mean_abs,trans_y_mean_abs,trans_z_mean_abs,rot_x_mean_abs,rot_y_mean_abs,rot_z_mean_abs,subject,run
0.0021392938685019106,0.012036080247435531,0.0032064490149562876,0.008945515059104379,0.0018415922363754808,0.009131443402825696,LA,1
0.004025094206185677,0.01547256203440927,0.003438179550552382,0.011054418464437568,0.0026986804408707828,0.007863347952156746,LA,2
0.0038323952006626334,0.008243480433788836,0.0061243795477760226,0.008108383370814232,0.0043601105550254435,0.008799387872037483,BS,1
0.004548497161597533,0.008536438816018118,0.0068943220592732266,0.014945798719180468,0.004940674857239822,0.008280761120156471,BS,2
0.005585207098675418,0.011618554079422862,0.004232546016068746,0.014343258053891651,0.006105726128511146,0.010696730261976794,AE,1
0.005804050802172855,0.015305687595289037,0.00511489685195391,0.010077417450789031,0.006078725220795133,0.009473927187581657,AE,2
0.00828632759141096,0.020434954970261487,0.009976707208274116,0.014162297796297985,0.009692390632586291,0.015266316853747212,AE,3
0.00367405343552568,0.009078438596718775,0.003711753945387983,0.014338471771201202,0.002830032060638756,0.007871765703010155,AIM,1
0.00859489521920646,0.033157826070891766,0.008642413302785942,0.021839509837811067,0.005608634630111264,0.011817836887466814,AIM,2
0.005146918792420804,0.007274626797448125,0.003954567987777166,0.010072339639121968,0.004741390542413872,0.008918331108176095,EdZ,1
0.005744659054216508,0.00682111942900719,0.004661458599324033,0.008200473833632293,0.006404872081504273,0.011311252619248644,HaM,1
0.007255009898449228,0.007371944370725902,0.0065976999299560135,0.009684247553411476,0.007779240905428061,0.008352468914871626,HaM,2
0.003725036225595316,0.008596948361260102,0.0034435730323986997,0.00807372914099258,0.004108662903280279,0.009693949028813124,ElL,1
0.0052169888963920375,0.00858839395445769,0.00426583799812301,0.009350543987546934,0.005188423217711169,0.011599969724426312,ElL,2
0.0033176168580876324,0.005626653075554105,0.00361351655381251,0.010914891067693194,0.0021683626752849196,0.010224969437042377,DaH,1
0.0036427853068629586,0.003987842622955652,0.00273605135444525,0.01051697838838863,0.002564923300583006,0.010629230771111269,DaH,2
0.005408598966878692,0.013097382404970387,0.006183913245202428,0.00993473660909896,0.005373367050825583,0.011899014299751482,AmK,1
0.007615914051826595,0.010062624596106838,0.005142381050241898,0.011179248162119817,0.005731231297153378,0.012547809619063365,AmK,2
0.00511260266618451,0.006989373052180474,0.005053158193334851,0.009977309328253449,0.004645153642028015,0.009508078793550215,IdS,1
0.004039688048253288,0.007456524612828485,0.0036921534440568756,0.008330951076744404,0.004340450687822566,0.010924906285368293,IdS,2
0.0032539908342874807,0.008313942684158873,0.004456065631748988,0.01158174663616801,0.003822868216837484,0.009620274110137514,DoP,1
0.003578617959154036,0.0061825174443970905,0.003617344651799343,0.007382561538915034,0.0024572187907002303,0.008321821497644103,AlS,1
0.007873788790421958,0.015478335607522221,0.005684830544630022,0.014232881417003466,0.004410230405372998,0.012133116419060248,AlS,2
0.003015591058049645,0.005515746429820935,0.002586681142625273,0.0071279874711036575,0.0038681480980457482,0.00874200307419169,AnF,1
0.002882290180512836,0.006014942610375251,0.0029674666316306295,0.00869439091588939,0.003915805295879709,0.006326507597468169,AnF,2
0.004741680795514311,0.02500887398245168,0.004188631914621256,0.030906131648993387,0.002818954003378133,0.017939273263475948,ErG,1
0.0035997423358730143,0.007314924008474056,0.0033885857163379503,0.008848447927640477,0.003246431994351363,0.009300181062467675,AzN,1
0.0032335187510203005,0.006292709655923573,0.002623511921357013,0.008267560328064584,0.002761026678025937,0.007692096981902671,AzN,2
