subject,run,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_null_median,trans_y_null_median,trans_z_null_median,rot_x_null_median,rot_y_null_median,rot_z_null_median
LA,1,0.06072292810222724,0.22029803366989736,0.07134513069269229,0.3011896603188338,0.238693377817457,0.2789241611144482,0.15598064580644128,0.12954157930806487,0.14507825420812004,0.15915571133491244,0.15450029554479267,0.15924332254796175
LA,2,0.055220814853359126,0.09797448555260252,0.2563229855973216,0.007868292911971482,0.17435429525357013,0.04604342103139897,0.13476051859067803,0.1723215662898923,0.19732510784820068,0.1532405088277414,0.09080065566158288,0.1666560300777411
BS,1,0.15009463880865212,0.07166563722550734,0.10051386748169298,0.05803032028202943,0.2909982855546332,0.17585726487949796,0.14757633259272301,0.1917517512236386,0.13945872923144156,0.12268924746438663,0.15585509243108017,0.1802188118886453
BS,2,0.30353760631814924,0.4461608242946309,0.4967278032619256,0.0722923975074894,0.14406462698900646,0.21511229978352536,0.14342699164207226,0.149161504991984,0.255333159750531,0.14037712267540084,0.1617646188258262,0.1700622666093122
AE,1,0.34893619105464213,0.09130241305903077,0.27607629147150337,0.32845108216161856,0.371902022080885,0.09368721116432685,0.3151107372646366,0.17499361153707768,0.258396089837081,0.4284118979233355,0.2848524956866156,0.16261449066750033
AE,2,0.08568536030469422,0.1442630214865924,0.35031632527158957,0.060603405220242906,0.23201086284490433,0.26552546891076606,0.11943117765571849,0.1171686845495178,0.3302798191356216,0.10841097492401891,0.14796417389475536,0.23821493156308796
AE,3,0.16041695377754647,0.12564782803825303,0.13710065104794986,0.2871537719846646,0.26518156357570527,0.129304288336519,0.17709979940618584,0.14607480341796766,0.11826010679796596,0.18126635985625242,0.19458203580037522,0.20506904003005832
AIM,1,0.28117317070279446,0.3023291853527129,0.2500657566471219,0.3579997730402224,0.20536020341721067,0.20716657549165943,0.18613620531687447,0.1364815431590218,0.1970402972098179,0.2386147591595956,0.22200627706483886,0.20784840521313075
AIM,2,0.24920236510873098,0.22565520546632364,0.05373264678830038,0.23293714803143026,0.31173506871069306,0.31161989318780237,0.17172094030062046,0.1728957640146568,0.1459972140378415,0.16386786765410039,0.19660129331819276,0.1562541477684502
EdZ,1,0.16084336703269994,0.20237728516802492,0.1081887873602136,0.10002533572113127,0.12593743289249412,0.31657069250668946,0.15001161212021774,0.15098797524292257,0.1425726461649018,0.12009132258361062,0.16471721126190683,0.19046378719654386
