motion_param,percent_power_gastric_band,percent_power_low_freq,gastric_peak_freq,total_power,subject,run
trans_x,88.82006124887062,5.008423271983184,0.05074074074074074,0.0008867794784981717,LA,1
trans_y,90.946473603174,3.6615471927932357,0.05074074074074074,0.03309403401790053,LA,1
trans_z,88.46294189534821,6.136891220456275,0.05074074074074074,0.002820882240880372,LA,1
rot_x,94.69439623696815,2.1912632309505513,0.05074074074074074,0.019598692265714975,LA,1
rot_y,89.1345626997055,4.7118680009786225,0.05074074074074074,0.0005895332964677753,LA,1
rot_z,90.60774684390711,3.0998917695212973,0.05074074074074074,0.017257069546151124,LA,1
trans_x,84.6413901182943,1.0044483800683746,0.05592592592592592,0.004412091791420639,LA,2
trans_y,87.33277270434208,0.28848629613712073,0.05592592592592592,0.04694430927978579,LA,2
trans_z,86.50643566648527,1.2029810164243575,0.05592592592592592,0.00339774039618767,LA,2
rot_x,75.81045165871403,0.375165207510167,0.05592592592592592,0.023563885291526924,LA,2
rot_y,79.70457983204338,0.7476842902997607,0.05592592592592592,0.0021340994123123483,LA,2
rot_z,89.47575952516964,0.7075425526414054,0.05592592592592592,0.012530317499411723,LA,2
trans_x,93.3234952854168,3.0958692341258143,0.05259259259259259,0.003394622708354159,BS,1
trans_y,91.24384130072431,2.6455297568972704,0.05259259259259259,0.012595309074099392,BS,1
trans_z,93.24956481614538,1.9171537734398327,0.05259259259259259,0.00784925742851579,BS,1
rot_x,88.25693078611742,2.755220916246983,0.05259259259259259,0.013999644595732325,BS,1
rot_y,92.25836682365882,1.5189004410233562,0.05259259259259259,0.00414384873738853,BS,1
rot_z,90.21917341753094,1.9945573138996515,0.05259259259259259,0.015095067763058329,BS,1
trans_x,88.83959115803829,1.8139264310282497,0.05333333333333333,0.0046513275355345475,BS,2
trans_y,89.22228406111925,4.242550104286758,0.05333333333333333,0.013864562798835812,BS,2
trans_z,90.67464268528299,2.0968528336141974,0.05333333333333333,0.009172725388889134,BS,2
rot_x,81.31678439762622,8.516676977544245,0.05333333333333333,0.026620374133840854,BS,2
rot_y,88.30975934875764,1.9390906489517785,0.05333333333333333,0.005603227249693938,BS,2
rot_z,91.14975725922446,1.8269844580290389,0.05333333333333333,0.014741772490721861,BS,2
trans_x,82.80557671947615,3.9503037186375742,0.05388888888888889,0.00437522435146943,OE,1
trans_y,86.10641828569176,2.8329674109155505,0.05388888888888889,0.05782122782911559,OE,1
trans_z,92.43349276271796,2.606861167332647,0.05388888888888889,0.007690481109894045,OE,1
rot_x,84.80981784248513,2.207840113758402,0.05388888888888889,0.03450415991596718,OE,1
rot_y,85.85222222944903,1.4911958875086113,0.05388888888888889,0.003322751414216556,OE,1
rot_z,83.1666083735227,1.5769292603586063,0.05388888888888889,0.03373276753567316,OE,1
trans_x,86.3870012629973,5.303230267954998,0.051666666666666666,0.0027334084160431592,OE,2
trans_y,87.27188441083607,4.474545084538032,0.051666666666666666,0.031895481652625804,OE,2
trans_z,90.19668671152327,2.0223427974123758,0.051666666666666666,0.003861401907355185,OE,2
rot_x,90.99827547684745,2.054290523003945,0.051666666666666666,0.014419007636770542,OE,2
rot_y,89.77527654769757,4.571990827550337,0.051666666666666666,0.001961510979273229,OE,2
rot_z,86.165123431822,2.5833184983106556,0.051666666666666666,0.014387523018748447,OE,2
trans_x,93.37713534350354,2.99755700872675,0.050555555555555555,0.003930443902104117,OE,3
trans_y,93.03246070113704,3.6898067449027336,0.050555555555555555,0.05713856596233369,OE,3
trans_z,89.77434389013096,3.900580288239852,0.050555555555555555,0.0031596662072761873,OE,3
rot_x,93.28760505204983,2.005907549985515,0.050555555555555555,0.02284737832699275,OE,3
rot_y,93.41724795702991,2.8077888582494275,0.050555555555555555,0.002773587456863485,OE,3
rot_z,84.61454836306116,4.956173438010084,0.050555555555555555,0.017139272638028613,OE,3
trans_x,91.9543373516053,6.878815108172423,0.04833333333333333,0.008633274922526659,AE,1
trans_y,93.61904248596886,2.829465946293907,0.04833333333333333,0.025521512239999173,AE,1
trans_z,89.91932578072542,9.027865316927116,0.04833333333333333,0.003633432087298079,AE,1
rot_x,95.36316017275539,2.8448898528654154,0.04833333333333333,0.039684183047928014,AE,1
rot_y,87.99499599560005,11.276596135037638,0.04833333333333333,0.009170003034453849,AE,1
rot_z,92.24038239085577,4.401483826232097,0.04833333333333333,0.023305186840835223,AE,1
trans_x,81.61540927121874,17.542545233627937,0.04666666666666667,0.007977301913344718,AE,2
trans_y,80.68465328362942,18.047011852464,0.04666666666666667,0.06934455621413119,AE,2
trans_z,82.4933641852519,15.134377101806557,0.04666666666666667,0.005842824056935521,AE,2
rot_x,88.56111000189266,9.543149760816645,0.04666666666666667,0.02262969510591326,AE,2
rot_y,89.37136703561245,8.995655166760653,0.04666666666666667,0.007145452930472747,AE,2
rot_z,85.92427747928149,12.69387147164826,0.04666666666666667,0.015914062755384806,AE,2
trans_x,91.58757864606457,7.855515949673941,0.04666666666666667,0.015376584851451443,AE,3
trans_y,93.5557283259047,5.068368552631841,0.04666666666666667,0.1037100417224511,AE,3
trans_z,85.17011668644611,13.726847932064004,0.04666666666666667,0.019486547933034004,AE,3
rot_x,85.92224551490693,11.686993131590887,0.04666666666666667,0.03702472772526295,AE,3
rot_y,89.36185895722043,9.17611197772389,0.04666666666666667,0.01936847315825809,AE,3
rot_z,93.5902222716301,4.772995654108172,0.04666666666666667,0.04679057258196267,AE,3
trans_x,90.12843444156258,8.499775805251181,0.04833333333333333,0.013414514021204011,SE,1
