motion_param,r_zero_order,p_zero_order,r_partial,p_partial,attenuation,percent_attenuation,rho_spearman,p_spearman,subject,run
trans_x,0.0705657399755866,0.13501217238180022,-0.010011548669647161,0.832269594716793,0.06055419130593944,85.81245137780625,0.06287853273349499,0.1830367021608899,LA,1
trans_y,-0.08568885747327504,0.06936718249390546,-0.25904336167039976,2.4709885414377012e-08,-0.17335450419712473,-202.30693850853498,-0.14396416772428508,0.0022029755489918427,LA,1
trans_z,-0.07578172219668908,0.10840336125400661,-0.17070884170716122,0.00027481992089386056,-0.09492711951047214,-125.26387202456522,-0.09611194787793191,0.04156078692364328,LA,1
rot_x,-0.19988824789105536,1.9402189226138043e-05,-0.3376745620759469,1.8317474222580974e-13,-0.13778631418489157,-68.93167339181888,-0.2165363121134755,3.5561802119499414e-06,LA,1
rot_y,0.16508087690040507,0.00043759243209428466,0.18338299386363566,9.132668363419813e-05,-0.018302116963230586,-11.086757780110675,0.2464697603444956,1.1850559847347898e-07,LA,1
rot_z,0.17580352038371344,0.00017809714388880265,0.2293801705919647,8.739718111501376e-07,-0.05357665020825125,-30.475299977675892,0.1853561745983931,7.641021719184782e-05,LA,1
trans_x,-0.007555775890934422,0.8730081423090288,0.007597713814930553,0.8723092926920141,-4.193792399613018e-05,-0.5550445725428169,-0.020728925410331247,0.660986902316469,LA,2
trans_y,0.05166348058721694,0.2741172044836368,0.02316619785281762,0.6240431697199268,0.028497282734399318,55.159432563377045,-0.006061001124285388,0.8979773876642021,LA,2
trans_z,-0.23235247497372596,6.241264283878806e-07,-0.22734917720122463,1.0972047961687877e-06,0.0050032977725013306,2.153322349188273,-0.1176438402164949,0.012512919978902358,LA,2
rot_x,0.02411310435287348,0.6099339966800311,0.043005848793200144,0.3627299211850913,-0.018892744440326664,-78.35052743043131,0.040257449831027976,0.3942364852809237,LA,2
rot_y,0.010385519922557231,0.826102221936778,0.05546707496657202,0.24028853885335602,-0.04508155504401479,-434.0808681720225,0.07840176988528338,0.09669646078582758,LA,2
rot_z,0.028474935409534413,0.5468501963239906,-0.02783216522120354,0.5559408729853211,0.0006427701883308726,2.257319214552636,0.03167574490079787,0.502702691263779,LA,2
trans_x,-0.15550801161952815,0.0009336107669721583,0.013180398619796663,0.7803730395270416,0.14232761299973148,91.52429609090217,-0.15154056727852155,0.001262544276997474,BS,1
trans_y,0.004554857303229725,0.9232387312909492,-0.11042405303077751,0.019124138137081796,-0.10586919572754779,-2324.314214025516,0.00820567015145754,0.8621897901334475,BS,1
trans_z,-0.1197549824390033,0.011006989439749329,-0.10824935439341754,0.02163696080170856,0.011505628045585761,9.607640376421168,-0.12172484802394087,0.009748932307687745,BS,1
