motion_param,r2_full_mean,r2_full_std,r2_phase_mean,r2_phase_std,coherence_mean,coherence_std,n_subjects,pct_significant_f
trans_x,0.07817106845604396,0.05677086557260055,0.0457270825775038,0.04364599689040742,0.10234499300550504,0.06423630203700947,84,85.71428571428571
trans_y,0.0944312144492638,0.06800465053537647,0.05576933405982762,0.0544404586500126,0.10760934345764347,0.07435833283456803,84,89.28571428571429
trans_z,0.07805031259953277,0.06246420716405014,0.0384538988350102,0.04211694281913945,0.09935305410617497,0.06848322799756673,84,85.71428571428571
rot_x,0.09687930666383272,0.07673357885483811,0.04999660685162775,0.050541813686420335,0.11744918987198183,0.07084796561384943,84,89.28571428571429
rot_y,0.09110207917118138,0.06784529430500488,0.050099995339397345,0.049447887609979,0.10163385995473781,0.06059192918086286,84,84.52380952380952
rot_z,0.09123313126314406,0.07631567887824708,0.05370636787031561,0.06096527465626672,0.11976527581998148,0.0826196242698617,84,91.66666666666666
